Currency_Code,Currency_Description," Number of FCEs
 ",National_Average_Unit_Cost,Total Costs,No. Data Submissions,
HT34D,"Intermediate Foot Procedures for Trauma, 19 years and over, with CC Score 0",658,3276.00,2155781.00,116,"£1,606,151.42"
HT34E,"Intermediate Foot Procedures for Trauma, 18 years and under",135,3351.00,452419.00,79,"£429,613.10"
HT35Z,Minor Foot Procedures for Trauma,87,2554.00,222206.00,53,"£543,615.06"
HT42A,Very Major Hand Procedures for Trauma with CC Score 2+,182,3515.00,639714.00,70,"£1,602,025.03"
HT42B,Very Major Hand Procedures for Trauma with CC Score 0-1,788,3525.00,2777508.00,112,"£192,868.34"
HT43A,"Major Hand Procedures for Trauma, 19 years and over, with CC Score 4+",116,3589.00,416301.00,63,"£592,555.75"
HT43B,"Major Hand Procedures for Trauma, 19 years and over, with CC Score 2-3",419,3220.00,1349182.00,102,"£908,654.94"
HT43C,"Major Hand Procedures for Trauma, 19 years and over, with CC Score 0-1","2,876",3000.00,8626927.00,126,"£3,088,024.36"
HT43D,"Major Hand Procedures for Trauma, between 6 and 18 years",427,2653.00,1132991.00,96,"£1,030,087.40"
HT43E,"Major Hand Procedures for Trauma, 5 years and under",25,2036.00,50900.00,19,"£228,908.76"
HT44A,"Intermediate Hand Procedures for Trauma, 19 years and over, with CC Score 4+",33,2637.00,87007.00,27,"£367,614.73"
HT44B,"Intermediate Hand Procedures for Trauma, 19 years and over, with CC Score 2-3",110,2901.00,319081.00,55,"£729,542.23"
HT44C,"Intermediate Hand Procedures for Trauma, 19 years and over, with CC Score 0-1","1,072",2325.00,2492668.00,112,"£587,421.81"
HT44D,"Intermediate Hand Procedures for Trauma, between 6 and 18 years",515,1773.00,912993.00,100,"£253,534.64"
HT44E,"Intermediate Hand Procedures for Trauma, 5 years and under",50,1564.00,78213.00,35,"£171,366.96"
HT45Z,Minor Hand Procedures for Trauma,117,2066.00,241728.00,47,"£57,215.41"
HT52A,Very Major Shoulder Procedures for Trauma with CC Score 4+,101,7525.00,760063.00,58,"£92,691.63"
HT52B,Very Major Shoulder Procedures for Trauma with CC Score 2-3,186,6942.00,1291244.00,83,"£450,270.39"
HT52C,Very Major Shoulder Procedures for Trauma with CC Score 0-1,496,5462.00,2709138.00,114,"£733,511.37"
HT53A,"Major Shoulder Procedures for Trauma, 19 years and over, with CC Score 4+",98,5412.00,530351.00,64,"£177,717.28"
HT53B,"Major Shoulder Procedures for Trauma, 19 years and over, with CC Score 2-3",289,5383.00,1555725.00,99,"£265,674.06"
HT53C,"Major Shoulder Procedures for Trauma, 19 years and over, with CC Score 1",448,4569.00,2046899.00,112,"£471,318.47"
HT53D,"Major Shoulder Procedures for Trauma, 19 years and over, with CC Score 0","1,392",4266.00,5938251.00,122,"£202,553.73"
HT53E,"Major Shoulder Procedures for Trauma, 18 years and under",127,3856.00,489734.00,68,"£137,921.60"
HT54A,Intermediate Shoulder Procedures for Trauma with CC Score 4+,17,4700.00,79906.00,15,"£227,191.21"
HT54B,Intermediate Shoulder Procedures for Trauma with CC Score 2-3,74,3774.00,279239.00,52,"£334,839.22"
HT54C,Intermediate Shoulder Procedures for Trauma with CC Score 1,125,3812.00,476484.00,68,"£180,103.69"
HT54D,Intermediate Shoulder Procedures for Trauma with CC Score 0,419,3621.00,1517104.00,105,"£354,394.80"
HT55Z,Minor Shoulder Procedures for Trauma,102,3410.00,347847.00,57,"£463,026.79"
HT62A,Very Major Elbow Procedures for Trauma with CC Score 2+,100,6536.00,653558.00,63,"£720,518.31"
HT62B,Very Major Elbow Procedures for Trauma with CC Score 0-1,405,5097.00,2064310.00,99,"£144,701.56"
HT63A,"Major Elbow Procedures for Trauma, 19 years and over, with CC Score 4+",45,4829.00,217322.00,29,"£7,985.47"
HT63B,"Major Elbow Procedures for Trauma, 19 years and over, with CC Score 2-3",181,4492.00,812995.00,89,"£72,535.59"
HT63C,"Major Elbow Procedures for Trauma, 19 years and over, with CC Score 1",248,4611.00,1143474.00,90,"£4,191,404.74"
HT63D,"Major Elbow Procedures for Trauma, 19 years and over, with CC Score 0",733,4064.00,2978944.00,114,"£14,264,994.41"
HT63E,"Major Elbow Procedures for Trauma, between 6 and 18 years",287,3509.00,1006953.00,89,"£44,254,610.50"
HT63F,"Major Elbow Procedures for Trauma, 5 years and under",88,3465.00,304896.00,50,"£9,815,447.90"
HT64A,"Intermediate Elbow Procedures for Trauma, 19 years and over, with CC Score 1+",102,3686.00,376005.00,60,"£9,968,616.62"
HT64B,"Intermediate Elbow Procedures for Trauma, 19 years and over, with CC Score 0",203,3254.00,660640.00,80,"£4,695,064.09"
HT64C,"Intermediate Elbow Procedures for Trauma, between 6 and 18 years",203,2195.00,445677.00,67,"£1,229,357.41"
HT64D,"Intermediate Elbow Procedures for Trauma, 5 years and under",105,1812.00,190227.00,50,"£14,713,807.64"
HT65Z,Minor Elbow Procedures for Trauma,40,2590.00,103610.00,31,"£7,588,544.21"
HT81A,"Complex, Hip or Knee Procedures for Trauma, with CC Score 12+",4,10726.00,42904.00,4,"£7,260,981.45"
HT81B,"Complex, Hip or Knee Procedures for Trauma, with CC Score 8-11",7,16655.00,116582.00,7,"£2,195,468.03"
HT81C,"Complex, Hip or Knee Procedures for Trauma, with CC Score 4-7",15,14425.00,216377.00,14,"£7,927,895.83"
HT81D,"Complex, Hip or Knee Procedures for Trauma, with CC Score 0-3",57,8724.00,497295.00,43,"£4,539,826.24"
HT86A,"Complex, Foot, Hand, Shoulder or Elbow Procedures for Trauma, with CC Score 4+",24,6953.00,166877.00,21,"£3,138,012.06"
HT86B,"Complex, Foot, Hand, Shoulder or Elbow Procedures for Trauma, with CC Score 2-3",45,6189.00,278498.00,31,"£7,733,969.89"
HT86C,"Complex, Foot, Hand, Shoulder or Elbow Procedures for Trauma, with CC Score 0-1",140,5195.00,727325.00,62,"£8,145,793.31"
JA12D,"Malignant Breast Disorders with Interventions, with CC Score 7+",36,7276.00,261953.00,26,"£1,938,361.64"
JA12E,"Malignant Breast Disorders with Interventions, with CC Score 3-6",56,3188.00,178523.00,33,"£1,415,028.69"
JA12F,"Malignant Breast Disorders with Interventions, with CC Score 0-2",46,3734.00,171779.00,30,"£1,367,948.63"
JA12G,"Malignant Breast Disorders without Interventions, with CC Score 9+",114,4157.00,473927.00,48,"£667,625.38"
JA12H,"Malignant Breast Disorders without Interventions, with CC Score 6-8",129,2392.00,308548.00,56,"£690,894.10"
JA12J,"Malignant Breast Disorders without Interventions, with CC Score 4-5",203,1757.00,356694.00,71,"£2,735,146.32"
JA12K,"Malignant Breast Disorders without Interventions, with CC Score 2-3",339,1256.00,425919.00,85,"£43,046.81"
JA12L,"Malignant Breast Disorders without Interventions, with CC Score 0-1",469,1247.00,584816.00,91,"£142,488.25"
JA13A,Non-Malignant Breast Disorders with Interventions,42,3743.00,157189.00,32,"£165,542.14"
JA13B,"Non-Malignant Breast Disorders without Interventions, with CC Score 4+",25,1270.00,31757.00,19,"£68,856.73"
JA13C,"Non-Malignant Breast Disorders without Interventions, with CC Score 0-3",77,1165.00,89686.00,41,"£41,507.85"
JA20D,Unilateral Major Breast Procedures with CC Score 6+,"1,920",4037.00,7750870.00,125,"£2,395,263.07"
JA20E,Unilateral Major Breast Procedures with CC Score 3-5,"4,664",3733.00,17411849.00,126,"£772,042.36"
JA20F,Unilateral Major Breast Procedures with CC Score 0-2,"9,869",3554.00,35069738.00,127,"£287,159.68"
JA21A,Bilateral Major Breast Procedures with CC Score 1+,"2,490",4769.00,11874227.00,128,"£229,831.98"
JA21B,Bilateral Major Breast Procedures with CC Score 0,"1,765",4268.00,7532952.00,113,"£313,184.30"
JA30Z,Unilateral Delayed Pedicled Myocutaneous Breast Reconstruction,649,6772.00,4395046.00,101,"£810,808.41"
JA31Z,Bilateral Delayed Pedicled Myocutaneous Breast Reconstruction,198,6631.00,1312848.00,71,"£2,086,705.56"
JA32Z,Unilateral Excision of Breast with Immediate Pedicled Myocutaneous Flap Reconstruction,"2,568",6391.00,16413326.00,121,"£19,254,474.26"
JA33Z,Bilateral Excision of Breast with Immediate Pedicled Myocutaneous Flap Reconstruction,"1,003",7704.00,7727609.00,107,"£14,546,367.07"
JA34Z,Unilateral Delayed Free Perforator Flap Breast Reconstruction,716,11366.00,8138104.00,42,"£1,547,549.91"
JA35Z,Bilateral Delayed Free Perforator Flap Breast Reconstruction,258,12385.00,3195454.00,31,"£4,001,120.28"
JA36Z,Unilateral Excision of Breast with Immediate Free Perforator Flap Reconstruction,855,12484.00,10673608.00,42,"£777,909.82"
JA37Z,Bilateral Excision of Breast with Immediate Free Perforator Flap Reconstruction,412,13908.00,5730167.00,33,£388.57
JA38A,"Unilateral Major Breast Procedures with Lymph Node Clearance, with CC Score 5+",899,4827.00,4339171.00,122,£256.00
JA38B,"Unilateral Major Breast Procedures with Lymph Node Clearance, with CC Score 2-4","1,577",4422.00,6974165.00,124,£944.50
JA38C,"Unilateral Major Breast Procedures with Lymph Node Clearance, with CC Score 0-1","1,257",4340.00,5454851.00,120,£183.20
JA39Z,Bilateral Major Breast Procedures with Lymph Node Clearance,317,6102.00,1934465.00,105,"£13,168.43"
JA40Z,Unilateral Therapeutic Mammoplasty,473,4771.00,2256487.00,76,"£1,413,985.58"
JA41Z,Bilateral Therapeutic Mammoplasty,385,5507.00,2120137.00,69,"£2,094,045.49"
JA42Z,Bilateral Intermediate Breast Procedures,250,2835.00,708824.00,79,"£3,918,054.29"
JA43A,Unilateral Intermediate Breast Procedures with CC Score 3+,351,2615.00,917705.00,110,"£10,233,321.20"
JA43B,Unilateral Intermediate Breast Procedures with CC Score 0-2,856,2247.00,1923721.00,113,"£30,381.72"
JA44Z,Bilateral Minor Breast Procedures,15,5641.00,84614.00,10,"£657,212.10"
JA45Z,Unilateral Minor Breast Procedures,101,2645.00,267144.00,46,"£692,125.66"
JB40A,"Treatment of Burn, with Severity Score 10+, with Intervention Score 2+, 16 years and over",3,21334.00,64002.00,1,"£1,644,174.73"
JB40B,"Treatment of Burn, with Severity Score 10+, with Intervention Score 0-1, 16 years and over",10,8566.00,85658.00,3,"£2,712,634.94"
JB41A,"Treatment of Burn, with Severity Score 8-9, with Intervention Score 2+, 16 years and over",1,60291.00,60291.00,1,"£1,655,249.56"
JB41B,"Treatment of Burn, with Severity Score 8-9, with Intervention Score 0-1, 16 years and over",9,16749.00,150741.00,3,"£4,455,777.48"
JB42A,"Treatment of Burn, with Severity Score 7, with Intervention Score 2+, 16 years and over",6,23693.00,142160.00,3,"£5,082,280.16"
JB42B,"Treatment of Burn, with Severity Score 7, with Intervention Score 1, 16 years and over",11,14270.00,156965.00,5,"£2,068,881.66"
JB42C,"Treatment of Burn, with Severity Score 7, with Intervention Score 0, 16 years and over",12,14901.00,178818.00,2,"£2,408,910.84"
JB43Z,"Treatment of Burn, with Severity Score 5-6, with Intervention Score 2+, 16 years and over",13,23954.00,311397.00,5,"£216,433.83"
JB44A,"Treatment of Burn, with Severity Score 6, with Intervention Score 1, 16 years and over",30,13313.00,399384.00,7,"£116,112.18"
JB44B,"Treatment of Burn, with Severity Score 6, with Intervention Score 0, 16 years and over",28,9281.00,259878.00,7,"£387,357.86"
JB45A,"Treatment of Burn, with Severity Score 5, with Intervention Score 1, 16 years and over",50,8186.00,409280.00,12,"£775,791.93"
JB45B,"Treatment of Burn, with Severity Score 5, with Intervention Score 0, 16 years and over",36,3317.00,119396.00,6,"£3,350,652.32"
JB46A,"Treatment of Burn, with Severity Score 4, with Intervention Score 1+, 16 years and over",73,5712.00,416973.00,11,"£144,289.95"
JB46B,"Treatment of Burn, with Severity Score 4, with Intervention Score 0, 16 years and over",45,2677.00,120478.00,13,"£80,889.73"
JB47A,"Treatment of Burn, with Severity Score 3, with Intervention Score 1+, 16 years and over",109,5170.00,563565.00,18,"£252,513.71"
JB47B,"Treatment of Burn, with Severity Score 3, with Intervention Score 0, 16 years and over",64,1825.00,116809.00,15,"£195,786.88"
JB48A,"Treatment of Burn, with Severity Score 2, with Intervention Score 1+, 16 years and over",21,2622.00,55062.00,11,"£215,397.55"
JB48B,"Treatment of Burn, with Severity Score 2, with Intervention Score 0, 16 years and over",19,1722.00,32712.00,8,"£449,070.94"
JB49Z,"Treatment of Burn, with Severity Score 1, 16 years and over",6,2068.00,12410.00,5,"£1,397,648.60"
JB50A,"Treatment of Burn, with Severity Score 8+, with Intervention Score 2+, 15 years and under",1,118611.00,118611.00,1,"£4,723,780.69"
JB50B,"Treatment of Burn, with Severity Score 8+, with Intervention Score 0-1, 15 years and under",3,665.00,1996.00,1,"£28,054,256.94"
JB51B,"Treatment of Burn, with Severity Score 6-7, with Intervention Score 0, 15 years and under",9,4344.00,39092.00,4,"£36,467.34"
JB52Z,"Treatment of Burn, with Severity Score 4-5, with Intervention Score 1+, 15 years and under",11,6585.00,72430.00,5,"£26,072.65"
JB53Z,"Treatment of Burn, with Severity Score 5, with Intervention Score 0, 15 years and under",9,6223.00,56006.00,3,"£26,095.28"
JB54Z,"Treatment of Burn, with Severity Score 4, with Intervention Score 0, 15 years and under",38,1837.00,69793.00,4,"£15,741.55"
JB55Z,"Treatment of Burn, with Severity Score 2-3, with Intervention Score 1+, 15 years and under",52,4751.00,247033.00,9,"£124,089.65"
JB56Z,"Treatment of Burn, with Severity Score 3, with Intervention Score 0, 15 years and under",134,1473.00,197370.00,13,"£117,662.80"
JB57Z,"Treatment of Burn, with Severity Score 2, with Intervention Score 0, 15 years and under",63,933.00,58788.00,6,"£115,532.34"
JB58Z,"Treatment of Burn, with Severity Score 1, 15 years and under",16,681.00,10902.00,6,"£75,935.67"
JB60A,"Treatment of Unspecified Degree of Burn, 16 years and over",29,3416.00,99053.00,11,"£498,371.43"
JB60B,"Treatment of Unspecified Degree of Burn, 15 years and under",20,2196.00,43921.00,8,"£407,639.12"
JB61A,"Treatment of Burn where Patient Transferred or Died in 2 days or less, 16 years and over",4,2509.00,10037.00,1,"£221,721.37"
JB61B,"Treatment of Burn where Patient Transferred or Died in 2 days or less, 15 years and under",2,2636.00,5272.00,1,"£47,822.21"
JB70A,"Debridement of Burn, 16 years and over",4,1560.00,6242.00,4,"£396,783.58"
JB70B,"Debridement of Burn, 15 years and under",1,1707.00,1707.00,1,"£873,817.86"
JB71A,"Cleansing and Dressing of Burn, 16 years and over",2,1235.00,2470.00,1,"£407,505.27"
JB71B,"Cleansing and Dressing of Burn, 15 years and under",7,1340.00,9383.00,6,"£109,793.40"
JC40Z,Multiple Major Skin Procedures,155,9254.00,1434367.00,39,"£434,419.37"
JC41Z,Major Skin Procedures,"2,178",6320.00,13764132.00,95,"£477,908.31"
JC42C,"Intermediate Skin Procedures, 19 years and over","5,760",1864.00,10734674.00,137,"£637,156.16"
JC42D,"Intermediate Skin Procedures, 18 years and under",881,1877.00,1654009.00,101,"£420,605.36"
JC43C,"Minor Skin Procedures, 19 years and over","2,662",1115.00,2968470.00,120,"£180,814.31"
JC43D,"Minor Skin Procedures, 18 years and under",772,1175.00,907197.00,88,"£826,030.65"
JC44Z,Complex Patch Tests,8,158.00,1262.00,1,"£28,998.67"
JC45B,"Standard Patch Tests, 12 years and under",3,284.00,851.00,3,"£1,786,039.45"
JC46Z,Photodynamic Therapy,2,789.00,1578.00,2,"£228,860.82"
JC47Z,Phototherapy or Photochemotherapy,30,688.00,20635.00,19,"£10,464,174.59"
JD07A,"Skin Disorders with Interventions, with CC Score 12+",136,10011.00,1361471.00,61,"£1,081,181.21"
JD07B,"Skin Disorders with Interventions, with CC Score 8-11",299,5473.00,1636318.00,93,"£61,393.57"
JD07C,"Skin Disorders with Interventions, with CC Score 4-7",816,4579.00,3736148.00,118,"£54,968.39"
JD07D,"Skin Disorders with Interventions, with CC Score 0-3","2,424",2935.00,7115098.00,134,"£357,587.98"
JD07E,"Skin Disorders without Interventions, with CC Score 19+",23,5083.00,116899.00,13,"£452,103.24"
JD07F,"Skin Disorders without Interventions, with CC Score 14-18",153,3835.00,586812.00,55,"£548,046.47"
JD07G,"Skin Disorders without Interventions, with CC Score 10-13",303,3147.00,953605.00,84,"£67,529.03"
JD07H,"Skin Disorders without Interventions, with CC Score 6-9",647,2373.00,1535326.00,110,"£544,302.79"
JD07J,"Skin Disorders without Interventions, with CC Score 2-5","1,316",1614.00,2123914.00,122,"£1,039,515.95"
JD07K,"Skin Disorders without Interventions, with CC Score 0-1","1,332",1028.00,1369199.00,115,"£796,842.38"
KA03C,Parathyroid Procedures with CC Score 2+,"1,820",3470.00,6316292.00,106,"£551,757.53"
KA03D,Parathyroid Procedures with CC Score 0-1,"1,663",3169.00,5269929.00,109,"£1,622,166.13"
KA04A,Adrenal Procedures with CC Score 2+,433,6645.00,2877210.00,78,"£296,962.68"
KA04B,Adrenal Procedures with CC Score 0-1,437,5387.00,2353955.00,67,"£696,386.94"
KA05C,Anterior Pituitary Disorders with CC Score 2+,82,4682.00,383946.00,24,"£687,846.30"
KA05D,Anterior Pituitary Disorders with CC Score 0-1,74,3070.00,227210.00,25,"£90,573.24"
KA06C,"Non-Pituitary Neoplasia or Hypoplasia, with CC Score 4+",245,3265.00,799834.00,55,"£536,327.00"
KA06D,"Non-Pituitary Neoplasia or Hypoplasia, with CC Score 2-3",448,2073.00,928562.00,64,"£1,064,512.47"
KA06E,"Non-Pituitary Neoplasia or Hypoplasia, with CC Score 0-1","1,602",1917.00,3070325.00,70,"£1,066,536.30"
KA07A,Non-Surgical Thyroid Disorders with CC Score 4+,67,2471.00,165564.00,26,"£983,325.05"
KA07B,Non-Surgical Thyroid Disorders with CC Score 2-3,62,1275.00,79022.00,32,"£1,445,466.06"
KA07C,Non-Surgical Thyroid Disorders with CC Score 0-1,199,1032.00,205462.00,59,"£2,384,103.30"
KA08A,Other Endocrine Disorders with CC Score 4+,103,2728.00,281021.00,34,"£202,504.24"
KA08B,Other Endocrine Disorders with CC Score 2-3,126,1323.00,166737.00,41,"£357,542.31"
KA08C,Other Endocrine Disorders with CC Score 0-1,219,1508.00,330217.00,69,"£564,912.32"
KA09C,Thyroid Procedures with CC Score 4+,519,5201.00,2699318.00,106,"£631,974.50"
KA09D,Thyroid Procedures with CC Score 2-3,"1,711",4351.00,7444507.00,120,"£1,744,276.34"
KA09E,Thyroid Procedures with CC Score 0-1,"7,616",3935.00,29969000.00,125,"£572,025.44"
KB01C,"Diabetes with Hypoglycaemic Disorders, with CC Score 8+",25,2835.00,70875.00,15,"£1,470,862.18"
KB01D,"Diabetes with Hypoglycaemic Disorders, with CC Score 5-7",35,1306.00,45716.00,20,"£3,381,599.84"
KB01E,"Diabetes with Hypoglycaemic Disorders, with CC Score 3-4",19,2017.00,38320.00,12,"£107,607.84"
KB01F,"Diabetes with Hypoglycaemic Disorders, with CC Score 0-2",13,1843.00,23959.00,9,"£158,365.97"
KB02G,"Diabetes with Hyperglycaemic Disorders, with CC Score 8+",59,3324.00,196121.00,33,"£448,024.69"
KB02H,"Diabetes with Hyperglycaemic Disorders, with CC Score 5-7",76,1075.00,81678.00,37,"£1,121,481.27"
KB02J,"Diabetes with Hyperglycaemic Disorders, with CC Score 2-4",102,1005.00,102464.00,44,"£8,190.75"
KB02K,"Diabetes with Hyperglycaemic Disorders, with CC Score 0-1",65,869.00,56512.00,30,"£1,325.00"
KB03C,"Diabetes with Lower Limb Complications, with CC Score 9+",250,4340.00,1085005.00,55,"£628,256.30"
KB03D,"Diabetes with Lower Limb Complications, with CC Score 5-8",174,2371.00,412509.00,64,"£689,596.68"
KB03E,"Diabetes with Lower Limb Complications, with CC Score 0-4",125,1666.00,208283.00,49,"£845,316.03"
KB04Z,Continuous Subcutaneous Insulin Infusion,11,3742.00,41157.00,8,"£1,471,963.89"
KC04A,Inborn Errors of Metabolism with CC Score 3+,328,3021.00,990775.00,79,"£1,406,471.49"
KC04B,Inborn Errors of Metabolism with CC Score 0-2,847,706.00,598404.00,81,"£209,100.59"
KC05G,"Fluid or Electrolyte Disorders, with Interventions, with CC Score 5+",119,5778.00,687557.00,62,"£1,219,143.74"
KC05H,"Fluid or Electrolyte Disorders, with Interventions, with CC Score 0-4",17,3939.00,66955.00,13,"£1,473,642.56"
KC05J,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 10+",293,2766.00,810484.00,74,"£2,039,649.60"
KC05K,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 7-9",330,1958.00,646162.00,89,"£3,462,898.73"
KC05L,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 4-6",544,1198.00,651664.00,106,"£445,279.32"
KC05M,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 2-3",375,872.00,327115.00,88,"£10,826,072.22"
KC05N,"Fluid or Electrolyte Disorders, without Interventions, with CC Score 0-1",252,637.00,160546.00,64,"£638,505.44"
LA01A,"Kidney Transplant, 19 years and over, from Cadaver Non-Heart-Beating Donor",98,13063.00,1280160.00,12,"£2,524,934.35"
LA01B,"Kidney Transplant, 18 years and under, from Cadaver Non-Heart-Beating Donor",4,22345.00,89379.00,4,"£1,295,628.70"
LA02A,"Kidney Transplant, 19 years and over, from Cadaver Heart-Beating Donor",135,13686.00,1847563.00,12,"£846,161.95"
LA02B,"Kidney Transplant, 18 years and under, from Cadaver Heart-Beating Donor",15,15178.00,227675.00,6,"£2,136,844.73"
LA03A,"Kidney Transplant, 19 years and over, from Live Donor",635,12198.00,7745594.00,19,"£3,002,842.57"
LA03B,"Kidney Transplant, 18 years and under, from Live Donor",60,18988.00,1139257.00,12,"£16,706,078.23"
LA04H,"Kidney or Urinary Tract Infections, with Interventions, with CC Score 12+",15,9198.00,137970.00,8,"£22,829,455.80"
LA04J,"Kidney or Urinary Tract Infections, with Interventions, with CC Score 9-11",18,6368.00,114622.00,16,"£15,778,379.39"
LA04K,"Kidney or Urinary Tract Infections, with Interventions, with CC Score 6-8",42,6477.00,272054.00,34,"£150,351.97"
LA04L,"Kidney or Urinary Tract Infections, with Interventions, with CC Score 3-5",71,5274.00,374422.00,43,"£2,989,417.59"
LA04M,"Kidney or Urinary Tract Infections, with Interventions, with CC Score 0-2",93,3297.00,306617.00,55,"£93,030.11"
LA04N,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 13+",15,4404.00,66055.00,8,"£425,577.95"
LA04P,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 8-12",116,4387.00,508871.00,55,"£511,348.00"
LA04Q,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 4-7",294,2489.00,731839.00,87,"£22,007.42"
LA04R,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 2-3",312,1379.00,430388.00,93,"£42,317.76"
LA04S,"Kidney or Urinary Tract Infections, without Interventions, with CC Score 0-1",359,1222.00,438651.00,87,"£69,316.08"
LA05Z,Renal Replacement Peritoneal Dialysis Associated Procedures,757,1824.00,1380803.00,56,"£99,991.21"
LA07H,"Acute Kidney Injury with Interventions, with CC Score 11+",41,9190.00,376775.00,28,"£489,757.26"
LA07J,"Acute Kidney Injury with Interventions, with CC Score 6-10",95,5820.00,552937.00,44,"£642,421.96"
LA07K,"Acute Kidney Injury with Interventions, with CC Score 0-5",216,3879.00,837958.00,60,"£1,092,105.37"
LA07L,"Acute Kidney Injury without Interventions, with CC Score 12+",50,5638.00,281879.00,30,"£2,118,961.65"
LA07M,"Acute Kidney Injury without Interventions, with CC Score 8-11",227,3285.00,745657.00,65,"£184,096.15"
LA07N,"Acute Kidney Injury without Interventions, with CC Score 4-7",527,1880.00,990529.00,106,"£164,093.18"
LA07P,"Acute Kidney Injury without Interventions, with CC Score 0-3",673,1477.00,993943.00,104,"£127,559.93"
LA08G,"Chronic Kidney Disease with Interventions, with CC Score 6+",163,6427.00,1047674.00,50,"£330,591.53"
LA08H,"Chronic Kidney Disease with Interventions, with CC Score 3-5",336,4318.00,1450887.00,66,"£395,959.84"
LA08J,"Chronic Kidney Disease with Interventions, with CC Score 0-2",491,3634.00,1784361.00,71,"£47,138.91"
LA08K,"Chronic Kidney Disease without Interventions, with CC Score 11+",129,3406.00,439362.00,23,"£82,675.34"
LA08L,"Chronic Kidney Disease without Interventions, with CC Score 8-10",199,2596.00,516650.00,34,"£39,325.22"
LA08M,"Chronic Kidney Disease without Interventions, with CC Score 5-7",414,1914.00,792553.00,53,"£1,965,305.17"
LA08N,"Chronic Kidney Disease without Interventions, with CC Score 3-4",544,1728.00,939979.00,60,"£5,587,380.25"
LA08P,"Chronic Kidney Disease without Interventions, with CC Score 0-2","1,282",1338.00,1715255.00,72,"£4,684,230.39"
LA09J,"General Renal Disorders with Interventions, with CC Score 6+",167,6776.00,1131524.00,77,"£2,537,911.07"
LA09K,"General Renal Disorders with Interventions, with CC Score 3-5",428,3844.00,1645303.00,104,"£10,407,749.80"
LA09L,"General Renal Disorders with Interventions, with CC Score 0-2",851,3201.00,2724126.00,120,"£36,619,290.43"
LA09M,"General Renal Disorders without Interventions, with CC Score 9+",46,2962.00,136250.00,23,"£1,411,603.95"
LA09N,"General Renal Disorders without Interventions, with CC Score 6-8",90,2328.00,209520.00,42,"£3,254,166.34"
LA09P,"General Renal Disorders without Interventions, with CC Score 3-5",340,1411.00,479635.00,84,"£245,355.95"
LA09Q,"General Renal Disorders without Interventions, with CC Score 0-2","1,615",824.00,1330175.00,113,"£565,343.52"
LA10Z,Live Kidney Donor Screening,1,235.00,235.00,1,"£67,418.11"
LA11Z,Kidney Pre-Transplantation Workup of Live Donor,1,194.00,194.00,1,"£110,676.75"
LA13B,"Examination for Post-Transplantation of Kidney of Recipient, 18 years and under",1,872.00,872.00,1,"£380,106.28"
LB06H,"Kidney, Urinary Tract or Prostate Neoplasms, with Interventions, with CC Score 9+",122,8414.00,1026477.00,66,"£4,435,604.73"
LB06J,"Kidney, Urinary Tract or Prostate Neoplasms, with Interventions, with CC Score 6-8",213,3512.00,748001.00,80,"£2,236,876.04"
LB06K,"Kidney, Urinary Tract or Prostate Neoplasms, with Interventions, with CC Score 4-5",269,3121.00,839544.00,98,"£1,759,884.81"
LB06L,"Kidney, Urinary Tract or Prostate Neoplasms, with Interventions, with CC Score 2-3",343,2853.00,978587.00,96,"£173,922.73"
LB06M,"Kidney, Urinary Tract or Prostate Neoplasms, with Interventions, with CC Score 0-1",353,3091.00,1091189.00,93,"£442,303.48"
LB06N,"Kidney, Urinary Tract or Prostate Neoplasms, without Interventions, with CC Score 13+",46,5247.00,241383.00,31,"£386,111.84"
LB06P,"Kidney, Urinary Tract or Prostate Neoplasms, without Interventions, with CC Score 7-12",390,3314.00,1292576.00,76,"£153,936.46"
LB06Q,"Kidney, Urinary Tract or Prostate Neoplasms, without Interventions, with CC Score 4-6",858,1694.00,1453334.00,99,"£561,741.45"
LB06R,"Kidney, Urinary Tract or Prostate Neoplasms, without Interventions, with CC Score 2-3","1,120",1472.00,1649139.00,104,"£1,162,207.02"
LB06S,"Kidney, Urinary Tract or Prostate Neoplasms, without Interventions, with CC Score 0-1","1,938",1443.00,2796480.00,107,"£531,515.95"
LB09C,"Intermediate Endoscopic Ureter Procedures, 18 years and under",206,2257.00,464975.00,27,"£277,683.47"
LB09D,"Intermediate Endoscopic Ureter Procedures, 19 years and over","5,412",1922.00,10403098.00,124,"£150,016.62"
LB10B,"Major Open Bladder Procedures or Reconstruction, 18 years and under",111,9435.00,1047293.00,18,"£283,270.71"
LB10C,"Major Open Bladder Procedures or Reconstruction, 19 years and over, with CC Score 2+",416,7549.00,3140567.00,89,"£207,536.99"
LB10D,"Major Open Bladder Procedures or Reconstruction, 19 years and over, with CC Score 0-1",389,5787.00,2251288.00,98,"£72,745.92"
LB12Z,Intermediate Open Bladder Procedures,244,3988.00,973029.00,95,"£204,174.15"
LB13C,Major Endoscopic Bladder Procedures with CC Score 7+,"1,035",3468.00,3589281.00,120,"£340,054.52"
